"","date","value"
"1",1989-01-01,NA
"2",1989-02-01,NA
"3",1989-03-01,NA
"4",1989-04-01,NA
"5",1989-05-01,NA
"6",1989-06-01,NA
"7",1989-07-01,NA
"8",1989-08-01,NA
"9",1989-09-01,NA
"10",1989-10-01,NA
"11",1989-11-01,NA
"12",1989-12-01,NA
"13",1990-01-01,NA
"14",1990-02-01,NA
"15",1990-03-01,NA
"16",1990-04-01,NA
"17",1990-05-01,NA
"18",1990-06-01,NA
"19",1990-07-01,NA
"20",1990-08-01,NA
"21",1990-09-01,NA
"22",1990-10-01,NA
"23",1990-11-01,NA
"24",1990-12-01,NA
"25",1991-01-01,NA
"26",1991-02-01,NA
"27",1991-03-01,NA
"28",1991-04-01,NA
"29",1991-05-01,NA
"30",1991-06-01,NA
"31",1991-07-01,NA
"32",1991-08-01,NA
"33",1991-09-01,NA
"34",1991-10-01,NA
"35",1991-11-01,NA
"36",1991-12-01,NA
"37",1992-01-01,NA
"38",1992-02-01,NA
"39",1992-03-01,NA
"40",1992-04-01,NA
"41",1992-05-01,NA
"42",1992-06-01,NA
"43",1992-07-01,NA
"44",1992-08-01,NA
"45",1992-09-01,NA
"46",1992-10-01,NA
"47",1992-11-01,NA
"48",1992-12-01,NA
"49",1993-01-01,NA
"50",1993-02-01,NA
"51",1993-03-01,NA
"52",1993-04-01,NA
"53",1993-05-01,NA
"54",1993-06-01,NA
"55",1993-07-01,NA
"56",1993-08-01,NA
"57",1993-09-01,NA
"58",1993-10-01,NA
"59",1993-11-01,NA
"60",1993-12-01,NA
"61",1994-01-01,NA
"62",1994-02-01,NA
"63",1994-03-01,NA
"64",1994-04-01,NA
"65",1994-05-01,NA
"66",1994-06-01,NA
"67",1994-07-01,NA
"68",1994-08-01,NA
"69",1994-09-01,NA
"70",1994-10-01,NA
"71",1994-11-01,NA
"72",1994-12-01,NA
"73",1995-01-01,NA
"74",1995-02-01,NA
"75",1995-03-01,NA
"76",1995-04-01,NA
"77",1995-05-01,NA
"78",1995-06-01,NA
"79",1995-07-01,NA
"80",1995-08-01,NA
"81",1995-09-01,NA
"82",1995-10-01,NA
"83",1995-11-01,NA
"84",1995-12-01,NA
"85",1996-01-01,NA
"86",1996-02-01,NA
"87",1996-03-01,NA
"88",1996-04-01,NA
"89",1996-05-01,NA
"90",1996-06-01,NA
"91",1996-07-01,NA
"92",1996-08-01,NA
"93",1996-09-01,NA
"94",1996-10-01,NA
"95",1996-11-01,NA
"96",1996-12-01,NA
"97",1997-01-01,NA
"98",1997-02-01,NA
"99",1997-03-01,NA
"100",1997-04-01,NA
"101",1997-05-01,NA
"102",1997-06-01,NA
"103",1997-07-01,NA
"104",1997-08-01,NA
"105",1997-09-01,NA
"106",1997-10-01,NA
"107",1997-11-01,NA
"108",1997-12-01,NA
"109",1998-01-01,NA
"110",1998-02-01,NA
"111",1998-03-01,NA
"112",1998-04-01,NA
"113",1998-05-01,NA
"114",1998-06-01,NA
"115",1998-07-01,NA
"116",1998-08-01,NA
"117",1998-09-01,NA
"118",1998-10-01,NA
"119",1998-11-01,NA
"120",1998-12-01,NA
"121",1999-01-01,202710
"122",1999-02-01,169878
"123",1999-03-01,277717
"124",1999-04-01,219417
"125",1999-05-01,214116
"126",1999-06-01,253474
"127",1999-07-01,245551
"128",1999-08-01,315706
"129",1999-09-01,299640
"130",1999-10-01,324635
"131",1999-11-01,318457
"132",1999-12-01,257079
"133",2000-01-01,307874
"134",2000-02-01,247623
"135",2000-03-01,331816
"136",2000-04-01,313715
"137",2000-05-01,355556
"138",2000-06-01,330778
"139",2000-07-01,385868
"140",2000-08-01,436969
"141",2000-09-01,394929
"142",2000-10-01,431010
"143",2000-11-01,418574
"144",2000-12-01,321223
"145",2001-01-01,379175
"146",2001-02-01,305112
"147",2001-03-01,378428
"148",2001-04-01,346377
"149",2001-05-01,354949
"150",2001-06-01,317514
"151",2001-07-01,308093
"152",2001-08-01,297656
"153",2001-09-01,223385
"154",2001-10-01,287187
"155",2001-11-01,261196
"156",2001-12-01,202118
"157",2002-01-01,255530
"158",2002-02-01,196906
"159",2002-03-01,247923
"160",2002-04-01,334872
"161",2002-05-01,313684
"162",2002-06-01,271695
"163",2002-07-01,325484
"164",2002-08-01,319486
"165",2002-09-01,328644
"166",2002-10-01,324121
"167",2002-11-01,333206
"168",2002-12-01,202070
"169",2003-01-01,249854
"170",2003-02-01,246524
"171",2003-03-01,308375
"172",2003-04-01,341394
"173",2003-05-01,320628
